Country,Continent,Region,Location_details,Language,Language_iso3,Culture,Genre,Year,Decade,Url,Audio,Speech,Melspec,Chroma,Melodia
France,Eurasia,Europe,Martinique,,,,Caribbean|World,1958.0,1950s,http://www.folkways.si.edu/groupe-mi-o/zip-zap-zebap/caribbean-world/music/track/smithsonian,15278_SampleAudio.wav,Speech/15278_SampleAudio.csv,Melspec/15278_SampleAudio.csv,Chroma/15278_SampleAudio.csv,Melodia/15278_SampleAudio.csv
France,Eurasia,Europe,Martinique,,,,Caribbean|World,1958.0,1950s,http://www.folkways.si.edu/groupe-mi-o/martinique-pays-damour/caribbean-world/music/track/smithsonian,15282_SampleAudio.wav,Speech/15282_SampleAudio.csv,Melspec/15282_SampleAudio.csv,Chroma/15282_SampleAudio.csv,Melodia/15282_SampleAudio.csv
Haiti,South America,South America,Haiti,,,African Caribbean,Caribbean|World,1958.0,1950s,http://www.folkways.si.edu/trio-au-chanteclair/panama-mtombe/caribbean-world/music/track/smithsonian,15295_SampleAudio.wav,Speech/15295_SampleAudio.csv,Melspec/15295_SampleAudio.csv,Chroma/15295_SampleAudio.csv,Melodia/15295_SampleAudio.csv
Haiti,South America,South America,Haiti,,,African Caribbean,Caribbean|World,1958.0,1950s,http://www.folkways.si.edu/45-schoolboys/alphabet-song/caribbean-world/music/track/smithsonian,15298_SampleAudio.wav,Speech/15298_SampleAudio.csv,Melspec/15298_SampleAudio.csv,Chroma/15298_SampleAudio.csv,Melodia/15298_SampleAudio.csv
India,Eurasia,Asia,India|Trinidad and Tobago,Hindi,hin,,Drama,1961.0,1960s,http://www.folkways.si.edu/ramayan-sewak-sang-of-trinidad-bo-girwarr-vocal/selections-from-the-traditional-hindu-ceremony-5/drama/track/smithsonian,15303_SampleAudio.wav,Speech/15303_SampleAudio.csv,Melspec/15303_SampleAudio.csv,Chroma/15303_SampleAudio.csv,Melodia/15303_SampleAudio.csv
Antigua and Barbuda,South America,South America,Antigua and Barbuda,,,,Caribbean|World,1955.0,1950s,http://www.folkways.si.edu/the-brute-force-steel-band/brute-force-road-march/caribbean-world/music/track/smithsonian,15314_SampleAudio.wav,Speech/15314_SampleAudio.csv,Melspec/15314_SampleAudio.csv,Chroma/15314_SampleAudio.csv,Melodia/15314_SampleAudio.csv
Antigua and Barbuda,South America,South America,Antigua and Barbuda,,,,Caribbean|World,1955.0,1950s,http://www.folkways.si.edu/the-brute-force-steel-band/anna/caribbean-world/music/track/smithsonian,15316_SampleAudio.wav,Speech/15316_SampleAudio.csv,Melspec/15316_SampleAudio.csv,Chroma/15316_SampleAudio.csv,Melodia/15316_SampleAudio.csv
Antigua and Barbuda,South America,South America,Antigua and Barbuda,,,,Caribbean|World,1955.0,1950s,http://www.folkways.si.edu/the-brute-force-steel-band/boncilla/caribbean-world/music/track/smithsonian,15319_SampleAudio.wav,Speech/15319_SampleAudio.csv,Melspec/15319_SampleAudio.csv,Chroma/15319_SampleAudio.csv,Melodia/15319_SampleAudio.csv
Antigua and Barbuda,South America,South America,Antigua and Barbuda,,,,Caribbean|World,1955.0,1950s,http://www.folkways.si.edu/the-brute-force-steel-band/over-the-waves/caribbean-world/music/track/smithsonian,15321_SampleAudio.wav,Speech/15321_SampleAudio.csv,Melspec/15321_SampleAudio.csv,Chroma/15321_SampleAudio.csv,Melodia/15321_SampleAudio.csv
Antigua and Barbuda,South America,South America,Antigua and Barbuda,,,,Caribbean|World,1955.0,1950s,http://www.folkways.si.edu/the-big-shell-steel-band/anna/caribbean-world/music/track/smithsonian,15324_SampleAudio.wav,Speech/15324_SampleAudio.csv,Melspec/15324_SampleAudio.csv,Chroma/15324_SampleAudio.csv,Melodia/15324_SampleAudio.csv
Antigua and Barbuda,South America,South America,Antigua and Barbuda,,,,Caribbean|World,1955.0,1950s,http://www.folkways.si.edu/the-big-shell-steel-band/kamaquit/caribbean-world/music/track/smithsonian,15325_SampleAudio.wav,Speech/15325_SampleAudio.csv,Melspec/15325_SampleAudio.csv,Chroma/15325_SampleAudio.csv,Melodia/15325_SampleAudio.csv
Antigua and Barbuda,South America,South America,Antigua and Barbuda,,,,Caribbean|World,1955.0,1950s,http://www.folkways.si.edu/the-big-shell-steel-band/sunny-side-of-the-street/caribbean-world/music/track/smithsonian,15326_SampleAudio.wav,Speech/15326_SampleAudio.csv,Melspec/15326_SampleAudio.csv,Chroma/15326_SampleAudio.csv,Melodia/15326_SampleAudio.csv
Antigua and Barbuda,South America,South America,Antigua and Barbuda,,,,Caribbean|World,1955.0,1950s,http://www.folkways.si.edu/the-brute-force-steel-band/jingle-bells/caribbean-world/music/track/smithsonian,15342_SampleAudio.wav,Speech/15342_SampleAudio.csv,Melspec/15342_SampleAudio.csv,Chroma/15342_SampleAudio.csv,Melodia/15342_SampleAudio.csv
Antigua and Barbuda,South America,South America,Antigua and Barbuda,,,,Caribbean|World,1955.0,1950s,http://www.folkways.si.edu/the-brute-force-steel-band/under-the-double-eagle/caribbean-world/music/track/smithsonian,15344_SampleAudio.wav,Speech/15344_SampleAudio.csv,Melspec/15344_SampleAudio.csv,Chroma/15344_SampleAudio.csv,Melodia/15344_SampleAudio.csv
Antigua and Barbuda,South America,South America,Antigua and Barbuda,,,,Caribbean|World,1955.0,1950s,http://www.folkways.si.edu/the-big-shell-steel-band/meringue-no-3/caribbean-world/music/track/smithsonian,15348_SampleAudio.wav,Speech/15348_SampleAudio.csv,Melspec/15348_SampleAudio.csv,Chroma/15348_SampleAudio.csv,Melodia/15348_SampleAudio.csv
Antigua and Barbuda,South America,South America,Antigua and Barbuda,,,,Caribbean|World,1955.0,1950s,http://www.folkways.si.edu/the-big-shell-steel-band/la-paloma-bolero/caribbean-world/music/track/smithsonian,15350_SampleAudio.wav,Speech/15350_SampleAudio.csv,Melspec/15350_SampleAudio.csv,Chroma/15350_SampleAudio.csv,Melodia/15350_SampleAudio.csv
