labels,0,1,2,3,4,5,6,7,8,9
Bolivia,-0.4393273279486145,0.32800721274975647,0.12898882296805927,0.29951098272951293,0.15200287463870424,-0.7295147988125367,0.5924528340028455,0.15168634228260996,-0.6182660657882674,0.3682697252535025
Botswana,6.505247342558596,1.409557536778112,1.5345085822720597,-0.9143041441708534,0.7890842155556458,1.2199158230975695,-0.9852249440506731,-2.0634237923759606,-0.46497276522982683,-1.533138078953218
Brazil,0.8556026290843972,0.346081352555525,-0.23116659966300127,-0.7868143816684462,2.0968375482733053,-0.12106703597241196,-0.9263473705816404,-0.10154150441690427,0.3028743517686227,-0.4741874520738728
Bulgaria,-0.616834148383939,-0.3789143727471566,-0.05041424722925634,-0.211285675946632,-0.13942862414886406,-0.30416164304196114,0.21946743031317517,1.8714799527101074,-0.6610790064220614,0.13985807559451582
Cambodia,-0.3244920372886743,0.3024773516537039,0.6146256934231523,-0.1277573940678731,-0.15335413292239827,-0.3017382349254846,0.16561559571668333,0.5074910027175051,-0.2877778120502203,-0.09489194905478703
Cameroon,0.7021639311723029,0.9285400019697737,0.6473709500971597,-1.2540901452773099,0.4631038879156509,1.7205439866025174,-1.7655215221708487,1.2255354469797317,-0.22560193121868746,-1.0612361511021762
Canada,-0.6986149054931591,-1.633324413648083,-2.0006012117467202,-0.3768429826660705,-0.9104314294017921,0.41227405476176143,-0.5291427483876988,0.8873783290497357,2.673698752738826,-0.9189492298366632
Chad,-0.0897174734264264,-0.03577698588896526,-0.09140868447573168,-0.14832664613548727,0.4720769552733077,-0.05497340914570217,0.07028404824443042,0.10861456312390227,-0.10144454093408568,-0.10773954811457767
Chile,-0.9406481141468798,-1.1423110178050382,-1.3521113645105312,1.4606699077532668,0.372635674462995,-2.413909383347196,2.3007757307986996,-0.8084998606300795,-0.44078226369854895,1.594211768751007
China,-0.16297937453093436,1.0414594738141005,0.82904750516461,0.47646833174688463,-0.4333135111397038,-0.6580237361526118,0.815947395225556,-0.9792433377201385,-1.1075395390541507,1.1031915105380157
